Alabama,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,0,0,0,0,0,0,0,0,0,0,0,0
California,3,3,3,12,0,12,3,3,3,3,3,48
Colorado,3,3,3,0,12,0,3,3,3,3,3,36
Connecticut,3,3,3,12,0,0,3,3,3,3,3,36
Delaware,3,3,3,12,0,0,0,3,3,3,0,30
Florida,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,3,3,3,0,12,0,3,3,3,3,3,36
Idaho,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,3,3,3,0,12,0,3,3,3,3,3,36
Indiana,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,3,3,3,12,0,0,3,3,3,3,3,36
Kansas,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,0,0,0,0,0,0,0,0,0,0,0,0
Maine,3,3,3,12,0,0,3,3,3,3,3,36
Maryland,3,3,3,12,0,0,3,0,0,0,3,27
Massachusetts,3,3,3,12,0,0,0,3,3,3,0,30
Michigan,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,3,3,3,12,0,0,0,3,3,3,0,30
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,0,0,0,0,0,0,0,0,0,0,0,0
Montana,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,3,3,3,0,0,12,0,3,3,3,0,30
New Hampshire,3,3,3,12,0,0,3,0,0,0,3,27
New Jersey,3,3,3,0,12,0,3,3,3,3,3,36
New Mexico,3,3,3,0,0,0,3,3,3,3,0,21
New York,3,3,3,12,0,0,3,0,0,0,3,27
North Carolina,0,0,0,0,0,0,3,0,0,0,3,6
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,3,3,3,0,0,12,3,3,3,3,3,36
Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,3,3,3,12,0,0,0,3,3,3,0,30
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,0,0,0,0,0,0,0,0,0,0,0,0
Texas,0,0,0,0,0,0,0,0,0,0,0,0
Utah,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,3,3,3,12,0,0,3,3,3,3,3,36
Virginia,0,0,0,0,0,0,0,0,0,0,0,0
Washington,3,3,3,12,0,0,3,3,3,3,3,36
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,3,3,3,0,0,12,0,0,0,0,0,21
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0
